CHANNEL,INPUT [mV]
531,74.086
532,74.225
533,74.364
534,74.503
535,74.642
536,74.781
537,74.92
538,75.059
539,75.198
540,75.338
541,75.477
542,75.616
543,75.755
544,75.894
545,76.033
546,76.172
547,76.311
548,76.45
549,76.589
550,76.729
551,76.868
552,77.007
553,77.146
554,77.285
555,77.424
556,77.563
557,77.702
558,77.841
559,77.98
560,78.12
561,78.259
562,78.398
563,78.537
564,78.676
565,78.815
566,78.954
567,79.093
568,79.232
569,79.371
570,79.511
571,79.65
572,79.789
573,79.928
574,80.067
575,80.207
576,80.347
577,80.487
578,80.626
579,80.766
580,80.906
581,81.046
582,81.185
583,81.325
584,81.465
585,81.605
586,81.744
587,81.884
588,82.024
589,82.164
590,82.303
591,82.443
592,82.583
593,82.723
594,82.862
595,83.002
596,83.142
597,83.282
598,83.421
599,83.561
600,83.701
601,83.841
602,83.98
603,84.12
604,84.26
605,84.4
606,84.539
607,84.679
608,84.819
609,84.959
610,85.098
611,85.238
612,85.378
613,85.518
614,85.657
615,85.797
616,85.937
617,86.077
618,86.216
619,86.356
620,86.496
621,86.636
622,86.775
623,86.915
624,87.055
625,87.195
626,87.335
627,87.474
628,87.614
629,87.754
630,87.894
631,88.033
632,88.173
633,88.313
634,88.453
635,88.592
636,88.732
637,88.872
638,89.012
639,89.151
640,89.291
641,89.431
642,89.571
643,89.71
644,89.85
645,89.99
646,90.13
647,90.27
648,90.41
649,90.549
650,90.689
651,90.829
652,90.969
653,91.109
654,91.249
655,91.389
656,91.529
657,91.669
658,91.809
659,91.949
660,92.089
661,92.228
662,92.368
663,92.508
664,92.648
665,92.788
666,92.928
667,93.068
668,93.208
669,93.348
670,93.488
671,93.628
672,93.768
673,93.907
674,94.047
675,94.187
676,94.327
677,94.467
678,94.607
679,94.747
680,94.887
681,95.027
682,95.167
683,95.307
684,95.447
685,95.586
686,95.726
687,95.866
688,96.006
689,96.146
690,96.286
691,96.426
692,96.566
693,96.706
694,96.846
695,96.986
696,97.126
697,97.265
698,97.405
699,97.545
700,97.685
701,97.825
702,97.965
703,98.105
704,98.245
705,98.385
706,98.525
707,98.665
708,98.805
709,98.944
710,99.084
711,99.224
712,99.364
713,99.504
714,99.644
715,99.784
716,99.924
717,100.064
718,100.204
719,100.344
720,100.484
721,100.624
722,100.764
723,100.904
724,101.044
725,101.184
726,101.323
727,101.463
728,101.603
729,101.743
730,101.883
731,102.023
732,102.163
733,102.303
734,102.443
735,102.583
736,102.723
737,102.863
738,103.003
739,103.143
740,103.283
741,103.423
742,103.563
743,103.703
744,103.843
745,103.983
746,104.123
747,104.263
748,104.403
749,104.543
750,104.683
751,104.823
752,104.962
753,105.102
754,105.242
755,105.382
756,105.522
757,105.662
758,105.802
759,105.942
760,106.082
761,106.222
762,106.362
763,106.502
764,106.642
765,106.782
766,106.922
767,107.062
768,107.202
769,107.342
770,107.482
771,107.622
772,107.762
773,107.902
774,108.042
775,108.182
776,108.322
777,108.462
778,108.602
779,108.741
780,108.881
781,109.021
782,109.161
783,109.301
784,109.441
785,109.581
786,109.721
787,109.861
788,110.001
789,110.141
790,110.28
791,110.42
792,110.559
793,110.699
794,110.839
795,110.978
796,111.118
797,111.257
798,111.397
799,111.536
800,111.676
801,111.815
802,111.955
803,112.095
804,112.234
805,112.374
806,112.513
807,112.653
808,112.792
809,112.932
810,113.072
811,113.211
812,113.351
813,113.49
814,113.63
815,113.769
816,113.909
817,114.048
818,114.188
819,114.328
820,114.467
821,114.607
822,114.746
823,114.886
824,115.025
825,115.165
826,115.305
827,115.444
828,115.584
829,115.723
830,115.863
831,116.002
832,116.142
833,116.282
834,116.421
835,116.561
836,116.7
837,116.84
838,116.979
839,117.119
840,117.258
841,117.398
842,117.538
843,117.677
844,117.817
845,117.956
846,118.096
847,118.235
848,118.375
849,118.515
850,118.654
851,118.794
852,118.933
853,119.073
854,119.212
855,119.352
856,119.491
857,119.631
858,119.771
859,119.91
860,120.05
861,120.19
862,120.33
863,120.47
864,120.61
865,120.75
866,120.89
867,121.031
868,121.171
869,121.311
870,121.451
871,121.591
872,121.731
873,121.871
874,122.011
875,122.151
876,122.291
877,122.431
878,122.571
879,122.712
880,122.852
881,122.992
882,123.132
883,123.272
884,123.412
885,123.552
886,123.692
887,123.832
888,123.972
889,124.112
890,124.252
891,124.393
892,124.533
893,124.673
894,124.813
895,124.953
896,125.093
897,125.233
898,125.373
899,125.513
900,125.653
901,125.793
902,125.933
903,126.074
904,126.214
905,126.354
906,126.494
907,126.634
908,126.774
909,126.914
910,127.054
911,127.194
912,127.334
913,127.474
914,127.614
915,127.755
916,127.895
917,128.035
918,128.175
919,128.315
920,128.455
921,128.595
922,128.735
923,128.875
924,129.015
925,129.155
926,129.296
927,129.436
928,129.576
929,129.716
930,129.856
931,129.996
932,130.135
933,130.274
934,130.414
935,130.553
936,130.692
937,130.831
938,130.971
939,131.11
940,131.249
941,131.388
942,131.528
943,131.667
944,131.806
945,131.945
946,132.084
947,132.224
948,132.363
949,132.502
950,132.641
951,132.781
952,132.92
953,133.059
954,133.198
955,133.338
956,133.477
957,133.616
958,133.755
959,133.894
960,134.034
961,134.173
962,134.312
963,134.451
964,134.591
965,134.73
966,134.869
967,135.008
968,135.148
969,135.287
970,135.426
971,135.565
972,135.705
973,135.844
974,135.983
975,136.122
976,136.261
977,136.401
978,136.54
979,136.679
980,136.818
981,136.958
982,137.097
983,137.236
984,137.375
985,137.515
986,137.654
987,137.793
988,137.932
989,138.071
990,138.211
991,138.35
992,138.489
993,138.628
994,138.768
995,138.907
996,139.046
997,139.185
998,139.325
999,139.464
1000,139.603
1001,139.742
1002,139.881
1003,140.021
1004,140.161
1005,140.301
1006,140.441
1007,140.581
1008,140.721
1009,140.861
1010,141.001
1011,141.141
1012,141.281
1013,141.421
1014,141.561
1015,141.701
1016,141.841
1017,141.981
1018,142.121
1019,142.261
1020,142.401
1021,142.541
1022,142.681
1023,142.821
1024,142.961
1025,143.101
1026,143.241
1027,143.381
1028,143.521
1029,143.661
1030,143.801
1031,143.941
1032,144.081
1033,144.221
1034,144.361
1035,144.501
1036,144.641
1037,144.781
1038,144.921
1039,145.061
1040,145.201
1041,145.341
1042,145.481
1043,145.621
1044,145.761
1045,145.901
1046,146.041
1047,146.181
1048,146.321
1049,146.461
1050,146.601
1051,146.741
1052,146.881
1053,147.021
1054,147.161
1055,147.301
1056,147.441
1057,147.581
1058,147.721
1059,147.861
1060,148.001
1061,148.141
1062,148.281
1063,148.421
1064,148.561
1065,148.701
1066,148.841
1067,148.981
1068,149.121
1069,149.261
1070,149.401
1071,149.541
1072,149.681
1073,149.821
1074,149.961
1075,150.114
1076,150.273
1077,150.432
1078,150.59
1079,150.749
1080,150.908
1081,151.066
1082,151.225
1083,151.384
1084,151.542
1085,151.701
1086,151.86
1087,152.018
1088,152.177
1089,152.335
1090,152.494
1091,152.653
1092,152.811
1093,152.97
1094,153.129
1095,153.287
1096,153.446
1097,153.605
1098,153.763
1099,153.922
1100,154.081
1101,154.239
1102,154.398
1103,154.557
1104,154.715
1105,154.874
1106,155.033
1107,155.191
1108,155.35
1109,155.509
1110,155.667
1111,155.826
1112,155.984
1113,156.143
1114,156.302
1115,156.46
1116,156.619
1117,156.778
1118,156.936
1119,157.095
1120,157.254
1121,157.412
1122,157.571
1123,157.73
1124,157.888
1125,158.047
1126,158.206
1127,158.364
1128,158.523
1129,158.682
1130,158.84
1131,158.999
1132,159.158
1133,159.316
1134,159.475
1135,159.634
1136,159.792
1137,159.951
1138,160.097
1139,160.238
1140,160.378
1141,160.519
1142,160.659
1143,160.8
1144,160.941
1145,161.081
1146,161.222
1147,161.362
1148,161.503
1149,161.644
1150,161.784
1151,161.925
1152,162.065
1153,162.206
1154,162.347
1155,162.487
1156,162.628
1157,162.768
1158,162.909
1159,163.05
1160,163.19
1161,163.331
1162,163.471
1163,163.612
1164,163.753
1165,163.893
1166,164.034
1167,164.174
1168,164.315
1169,164.456
1170,164.596
1171,164.737
1172,164.877
1173,165.018
1174,165.159
1175,165.299
1176,165.44
1177,165.58
1178,165.721
1179,165.862
1180,166.002
1181,166.143
1182,166.283
1183,166.424
1184,166.565
1185,166.705
1186,166.846
1187,166.986
1188,167.127
1189,167.268
1190,167.408
1191,167.549
1192,167.689
1193,167.83
1194,167.971
1195,168.111
1196,168.252
1197,168.393
1198,168.533
1199,168.674
1200,168.814
1201,168.955
1202,169.096
1203,169.236
1204,169.377
1205,169.517
1206,169.658
1207,169.799
1208,169.939
1209,170.08
1210,170.221
1211,170.362
1212,170.503
1213,170.644
1214,170.784
1215,170.925
1216,171.066
1217,171.207
1218,171.348
1219,171.489
1220,171.63
1221,171.771
1222,171.912
1223,172.053
1224,172.193
1225,172.334
1226,172.475
1227,172.616
1228,172.757
1229,172.898
1230,173.039
1231,173.18
1232,173.321
1233,173.462
1234,173.603
1235,173.743
1236,173.884
1237,174.025
1238,174.166
1239,174.307
1240,174.448
1241,174.589
1242,174.73
1243,174.871
1244,175.012
1245,175.153
1246,175.293
1247,175.434
1248,175.575
1249,175.716
1250,175.857
1251,175.998
1252,176.139
1253,176.28
1254,176.421
1255,176.562
1256,176.702
1257,176.843
1258,176.984
1259,177.125
1260,177.266
1261,177.407
1262,177.548
1263,177.689
1264,177.83
1265,177.971
1266,178.112
1267,178.252
