CHANNEL,INPUT [mV]
531,140.576
532,140.842
533,141.108
534,141.374
535,141.64
536,141.906
537,142.172
538,142.438
539,142.704
540,142.97
541,143.236
542,143.502
543,143.768
544,144.034
545,144.299
546,144.565
547,144.831
548,145.097
549,145.363
550,145.629
551,145.895
552,146.161
553,146.427
554,146.693
555,146.959
556,147.225
557,147.491
558,147.757
559,148.023
560,148.289
561,148.555
562,148.821
563,149.087
564,149.353
565,149.619
566,149.885
567,150.15
568,150.416
569,150.682
570,150.948
571,151.214
572,151.48
573,151.746
574,152.012
575,152.278
576,152.544
577,152.81
578,153.076
579,153.342
580,153.608
581,153.874
582,154.14
583,154.406
584,154.672
585,154.938
586,155.204
587,155.47
588,155.736
589,156.002
590,156.267
591,156.533
592,156.799
593,157.065
594,157.331
595,157.597
596,157.863
597,158.129
598,158.395
599,158.661
600,158.927
601,159.193
602,159.459
603,159.725
604,159.991
605,160.257
606,160.523
607,160.789
608,161.055
609,161.321
610,161.587
611,161.853
612,162.118
613,162.384
614,162.65
615,162.916
616,163.182
617,163.448
618,163.714
619,163.98
620,164.246
621,164.512
622,164.778
623,165.044
624,165.31
625,165.576
626,165.842
627,166.108
628,166.374
629,166.64
630,166.906
631,167.172
632,167.438
633,167.704
634,167.97
635,168.235
636,168.501
637,168.767
638,169.033
639,169.299
640,169.565
641,169.831
642,170.097
643,170.363
644,170.629
645,170.895
646,171.161
647,171.427
648,171.693
649,171.959
650,172.225
651,172.491
652,172.757
653,173.023
654,173.289
655,173.555
656,173.821
657,174.086
658,174.352
659,174.618
660,174.884
661,175.15
662,175.416
663,175.682
664,175.948
665,176.214
666,176.48
667,176.746
668,177.012
669,177.278
670,177.544
671,177.81
672,178.076
673,178.342
674,178.608
675,178.874
676,179.14
677,179.406
678,179.672
679,179.938
680,180.203
681,180.469
682,180.735
683,181.001
684,181.267
685,181.533
686,181.799
687,182.065
688,182.331
689,182.597
690,182.863
691,183.129
692,183.395
693,183.661
694,183.927
695,184.193
696,184.459
697,184.725
698,184.991
699,185.257
700,185.523
701,185.789
702,186.054
703,186.32
704,186.586
705,186.852
706,187.118
707,187.384
708,187.65
709,187.916
710,188.182
711,188.448
712,188.714
713,188.98
714,189.246
715,189.512
716,189.778
717,190.044
718,190.31
719,190.576
720,190.842
721,191.108
722,191.374
723,191.64
724,191.906
725,192.171
726,192.437
727,192.703
728,192.969
729,193.235
730,193.501
731,193.767
732,194.033
733,194.299
734,194.565
735,194.831
736,195.097
737,195.363
738,195.629
739,195.895
740,196.161
741,196.427
742,196.693
743,196.959
744,197.225
745,197.491
746,197.757
747,198.022
748,198.288
749,198.554
750,198.82
751,199.086
752,199.352
753,199.618
754,199.884
755,200.149
756,200.414
757,200.679
758,200.943
759,201.208
760,201.473
761,201.737
762,202.002
763,202.267
764,202.531
765,202.796
766,203.06
767,203.325
768,203.59
769,203.854
770,204.119
771,204.384
772,204.648
773,204.913
774,205.178
775,205.442
776,205.707
777,205.972
778,206.236
779,206.501
780,206.765
781,207.03
782,207.295
783,207.559
784,207.824
785,208.089
786,208.353
787,208.618
788,208.883
789,209.147
790,209.412
791,209.677
792,209.941
793,210.206
794,210.47
795,210.735
796,211.0
797,211.264
798,211.529
799,211.794
800,212.058
801,212.323
802,212.588
803,212.852
804,213.117
805,213.382
806,213.646
807,213.911
808,214.175
809,214.44
810,214.705
811,214.969
812,215.234
813,215.499
814,215.763
815,216.028
816,216.293
817,216.557
818,216.822
819,217.087
820,217.351
821,217.616
822,217.88
823,218.145
824,218.41
825,218.674
826,218.939
827,219.204
828,219.468
829,219.733
830,219.998
831,220.262
832,220.527
833,220.792
834,221.056
835,221.321
836,221.585
837,221.85
838,222.115
839,222.379
840,222.644
841,222.909
842,223.173
843,223.438
844,223.703
845,223.967
846,224.232
847,224.497
848,224.761
849,225.026
850,225.29
851,225.555
852,225.82
853,226.084
854,226.349
855,226.614
856,226.878
857,227.143
858,227.408
859,227.672
860,227.937
861,228.202
862,228.466
863,228.731
864,228.995
865,229.26
866,229.525
867,229.789
868,230.054
869,230.319
870,230.583
871,230.848
872,231.113
873,231.377
874,231.642
875,231.907
876,232.171
877,232.436
878,232.7
879,232.965
880,233.23
881,233.494
882,233.759
883,234.024
884,234.288
885,234.553
886,234.818
887,235.082
888,235.347
889,235.612
890,235.876
891,236.141
892,236.405
893,236.67
894,236.935
895,237.199
896,237.464
897,237.729
898,237.993
899,238.258
900,238.523
901,238.787
902,239.052
903,239.317
904,239.581
905,239.846
906,240.11
907,240.375
908,240.64
909,240.904
910,241.169
911,241.434
912,241.698
913,241.963
914,242.228
915,242.492
916,242.757
917,243.021
918,243.286
919,243.551
920,243.815
921,244.08
922,244.345
923,244.609
924,244.874
925,245.139
926,245.403
927,245.668
928,245.933
929,246.197
930,246.462
931,246.726
932,246.991
933,247.256
934,247.52
935,247.785
936,248.05
937,248.314
938,248.579
939,248.844
940,249.108
941,249.373
942,249.638
943,249.902
944,250.167
945,250.431
946,250.696
947,250.961
948,251.225
949,251.49
950,251.755
951,252.019
952,252.284
953,252.549
954,252.813
955,253.078
956,253.343
957,253.607
958,253.872
959,254.136
960,254.401
961,254.666
962,254.93
963,255.195
964,255.46
965,255.724
966,255.989
967,256.254
968,256.518
969,256.783
970,257.048
971,257.312
972,257.577
973,257.841
974,258.106
975,258.371
976,258.635
977,258.9
978,259.165
979,259.429
980,259.694
981,259.959
982,260.223
983,260.488
984,260.753
985,261.017
986,261.282
987,261.546
988,261.811
989,262.076
990,262.34
991,262.605
992,262.87
993,263.134
994,263.399
995,263.664
996,263.928
997,264.193
998,264.458
999,264.722
1000,264.987
1001,265.251
1002,265.516
1003,265.781
1004,266.045
1005,266.31
1006,266.575
1007,266.839
1008,267.104
1009,267.369
1010,267.633
1011,267.898
1012,268.163
1013,268.427
1014,268.692
1015,268.956
1016,269.221
1017,269.486
1018,269.75
1019,270.015
1020,270.28
1021,270.544
1022,270.809
1023,271.074
1024,271.338
1025,271.603
1026,271.868
1027,272.132
1028,272.397
1029,272.661
1030,272.926
1031,273.191
1032,273.455
1033,273.72
1034,273.985
1035,274.249
1036,274.514
1037,274.779
1038,275.043
1039,275.308
1040,275.573
1041,275.837
1042,276.102
1043,276.366
1044,276.631
1045,276.896
1046,277.16
1047,277.425
1048,277.69
1049,277.954
1050,278.219
1051,278.484
1052,278.748
1053,279.013
1054,279.278
1055,279.542
1056,279.807
1057,280.071
1058,280.336
1059,280.601
1060,280.865
1061,281.13
1062,281.395
1063,281.659
1064,281.924
1065,282.189
1066,282.453
1067,282.718
1068,282.983
1069,283.247
1070,283.512
1071,283.776
1072,284.041
1073,284.306
1074,284.57
1075,284.835
1076,285.1
1077,285.364
1078,285.629
1079,285.894
1080,286.158
1081,286.423
1082,286.688
1083,286.952
1084,287.217
1085,287.481
1086,287.746
1087,288.011
1088,288.275
1089,288.54
1090,288.805
1091,289.069
1092,289.334
1093,289.599
1094,289.863
1095,290.128
1096,290.393
1097,290.657
1098,290.922
1099,291.186
1100,291.451
1101,291.716
1102,291.98
1103,292.245
1104,292.51
1105,292.774
1106,293.039
1107,293.304
1108,293.568
1109,293.833
1110,294.098
1111,294.362
1112,294.627
1113,294.891
1114,295.156
1115,295.421
1116,295.685
1117,295.95
1118,296.215
1119,296.479
1120,296.744
1121,297.009
1122,297.273
1123,297.538
1124,297.803
1125,298.067
1126,298.332
1127,298.596
1128,298.861
1129,299.126
1130,299.39
1131,299.655
1132,299.92
1133,300.185
1134,300.45
1135,300.716
1136,300.981
1137,301.247
1138,301.512
1139,301.777
1140,302.043
1141,302.308
1142,302.574
1143,302.839
1144,303.105
1145,303.37
1146,303.636
1147,303.901
1148,304.166
1149,304.432
1150,304.697
1151,304.963
1152,305.228
1153,305.494
1154,305.759
1155,306.024
1156,306.29
1157,306.555
1158,306.821
1159,307.086
1160,307.352
1161,307.617
1162,307.883
1163,308.148
1164,308.413
1165,308.679
1166,308.944
1167,309.21
1168,309.475
1169,309.741
1170,310.006
1171,310.271
1172,310.537
1173,310.802
1174,311.068
1175,311.333
1176,311.599
1177,311.864
1178,312.129
1179,312.395
1180,312.66
1181,312.926
1182,313.191
1183,313.457
1184,313.722
1185,313.988
1186,314.253
1187,314.518
1188,314.784
1189,315.049
1190,315.315
1191,315.58
1192,315.846
1193,316.111
1194,316.376
1195,316.642
1196,316.907
1197,317.173
1198,317.438
1199,317.704
1200,317.969
1201,318.234
1202,318.5
1203,318.765
1204,319.031
1205,319.296
1206,319.562
1207,319.827
1208,320.093
1209,320.358
1210,320.623
1211,320.889
1212,321.154
1213,321.42
1214,321.685
1215,321.951
1216,322.216
1217,322.481
1218,322.747
1219,323.012
1220,323.278
1221,323.543
1222,323.809
1223,324.074
1224,324.34
1225,324.605
1226,324.87
1227,325.136
1228,325.401
1229,325.667
1230,325.932
1231,326.198
1232,326.463
1233,326.728
1234,326.994
1235,327.259
1236,327.525
1237,327.79
1238,328.056
1239,328.321
